run,parameter,joint,value,lower,upper,normalized_distance_to_boundary
O,armature,FL-abad,0.006461928132921457,9.999999974752427e-07,1.0,0.006460934593858559
O,armature,FL-thigh,2.1026849026384298e-06,9.999999974752427e-07,1.0,1.102686007849192e-06
O,armature,FL-calf,0.032027434557676315,9.999999974752427e-07,1.0,0.03202646658414535
O,armature,FR-abad,0.005926887504756451,9.999999974752427e-07,1.0,0.005925893430652391
O,armature,FR-thigh,7.467097475455375e-06,9.999999974752427e-07,1.0,6.467103945084062e-06
O,armature,FR-calf,0.030530080199241638,9.999999974752427e-07,1.0,0.030529110728354816
O,armature,RL-abad,0.007560172583907843,9.999999974752427e-07,1.0,0.007559180143090491
O,armature,RL-thigh,0.0001131162207457237,9.999999974752427e-07,1.0,0.00011211633286458103
O,armature,RL-calf,0.030819520354270935,9.999999974752427e-07,1.0,0.030818551172824556
O,armature,RR-abad,0.011033033952116966,9.999999974752427e-07,1.0,0.011032044984164447
O,armature,RR-thigh,2.132487225026125e-06,9.999999974752427e-07,1.0,1.1324883600392395e-06
O,armature,RR-calf,0.031806182116270065,9.999999974752427e-07,1.0,0.031805213921486435
O,damping,FL-abad,0.32331764698028564,0.0,7.0,0.04618823528289795
O,damping,FL-thigh,0.3511424660682678,0.0,7.0,0.050163209438323975
O,damping,FL-calf,0.3804265558719635,0.0,7.0,0.05434665083885193
O,damping,FR-abad,0.39852631092071533,0.0,7.0,0.05693233013153076
O,damping,FR-thigh,0.33984819054603577,0.0,7.0,0.04854974150657654
O,damping,FR-calf,0.3226298391819,0.0,7.0,0.04608997702598572
O,damping,RL-abad,0.42799273133277893,0.0,7.0,0.06114181876182556
O,damping,RL-thigh,0.343362957239151,0.0,7.0,0.04905185103416443
O,damping,RL-calf,0.30422425270080566,0.0,7.0,0.04346060752868652
O,damping,RR-abad,0.35105255246162415,0.0,7.0,0.05015036463737488
O,damping,RR-thigh,0.3669545352458954,0.0,7.0,0.05242207646369934
O,damping,RR-calf,0.321434885263443,0.0,7.0,0.045919269323349
O,frictionloss,FL-abad,0.2500119209289551,0.0,1.0,0.2500119209289551
O,frictionloss,FL-thigh,0.1608039140701294,0.0,1.0,0.1608039140701294
O,frictionloss,FL-calf,0.9999680519104004,0.0,1.0,3.1948089599609375e-05
O,frictionloss,FR-abad,0.164006769657135,0.0,1.0,0.164006769657135
